date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:56	1552/1552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202024%2010:46:56%20GMT	https://traffic.rta.ac/assets_new/json2.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/json2.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:57	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265eb5097-4d7%22	https://traffic.rta.ac/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:57	730/730	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202024%2010:46:57%20GMT	https://traffic.rta.ac/trfesrv/public_resources/+/	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/+/index.html	(from https://traffic.rta.ac/assets_new/recaptcha__en.js)
16:16:57	1552/1552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202024%2010:46:57%20GMT	https://traffic.rta.ac/trfesrv/public_resources/webworker.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/webworker.js	(from https://traffic.rta.ac/assets_new/recaptcha__en.js)
16:16:58	730/730	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202024%2010:46:58%20GMT	https://traffic.rta.ac/trfesrv/public_resources/enterprise/	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/enterprise/index.html	(from https://traffic.rta.ac/assets_new/recaptcha__en.js)
16:16:58	730/730	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202024%2010:46:58%20GMT	https://traffic.rta.ac/trfesrv/public_resources/api2/	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/api2/index.html	(from https://traffic.rta.ac/assets_new/recaptcha__en.js)
16:16:58	730/730	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202024%2010:46:58%20GMT	https://traffic.rta.ac/trfesrv/public_resources/Edg/	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/Edg/index.html	(from https://traffic.rta.ac/assets_new/recaptcha__en.js)
16:16:58	1552/1552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202024%2010:46:58%20GMT	https://traffic.rta.ac/trfesrv/public_resources/POST	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/POST.34.delayed	(from https://traffic.rta.ac/assets_new/hotjar-1165416.js)
16:16:59	730/730	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202024%2010:46:58%20GMT	https://traffic.rta.ac/trfesrv/public_resources/	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/index.html	(from https://traffic.rta.ac/assets_new/recaptcha__en.js)
16:16:59	730/730	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202024%2010:46:59%20GMT	https://traffic.rta.ac/trfesrv/public_resources/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://traffic.rta.ac/assets_new/recaptcha__en.js)
